N,k,steps,lam,metric,marginal_mean,marginal_sd,marginal_n,edlm_mean,edlm_sd,edlm_n,diff_mean,diff_sd,diff_se,diff_n
10,4,8,1000.0,hits@0.65,2.4,1.51657508881031,5,4.0,2.449489742783178,5,-1.6,3.646916505762094,1.6309506430300091,5
10,4,8,1000.0,novel_qed_mean,0.48136868661375004,0.003234120378486395,5,0.4831744946294161,0.0031242362525591163,5,-0.001805808015666066,0.0046332861764759635,0.0020720685699620683,5
10,4,8,1000.0,max,0.6838755558442765,0.027516318308170227,5,0.6874366728564001,0.019376364250046452,5,-0.0035611170121235603,0.04593293190120722,0.0205418316273936,5
10,8,4,0.0,valid,73.8,4.324349662087931,5,77.2,6.016643582596529,5,-3.4,2.3021728866442674,1.0295630140987,5
10,8,4,0.0,novel,54.0,6.324555320336759,5,57.8,9.093954035511725,5,-3.8,8.613942186943213,3.852272056851645,5
10,8,4,0.0,hits@0.6,1.6,0.5477225575051661,5,1.0,1.4142135623730951,5,0.6,1.6733200530681511,0.7483314773547882,5
10,8,4,0.0,hits@0.65,0.2,0.4472135954999579,5,0.2,0.4472135954999579,5,0.0,0.0,0.0,5
10,8,4,0.0,novel_qed_mean,0.46531172237692864,0.010263813934931287,5,0.45511473472877695,0.013056204698346454,5,0.01019698764815168,0.010408460812335756,0.004654805183505086,5
10,8,4,0.0,max,0.628474501809235,0.015948998057856,5,0.6089301968524184,0.03989009514374709,5,0.019544304956816538,0.04001597718347783,0.0178956890336674,5
10,8,4,20.0,valid,144.8,14.822280526288793,5,157.0,4.743416490252569,5,-12.2,19.162463307205574,8.569714114251418,5
10,8,4,20.0,novel,119.0,16.98528775146303,5,132.6,9.126883367283709,5,-13.6,24.120530674095875,10.78702924812944,5
10,8,4,20.0,hits@0.6,5.0,2.1213203435596424,5,4.2,2.4899799195977463,5,0.8,4.08656334834051,1.8275666882497066,5
10,8,4,20.0,hits@0.65,0.8,0.4472135954999579,5,0.8,0.8366600265340756,5,0.0,0.7071067811865476,0.31622776601683794,5
10,8,4,20.0,novel_qed_mean,0.4760531843447993,0.005633420530507016,5,0.46688308508019244,0.0042285594599949725,5,0.009170099264606857,0.005847173370549848,0.0026149354265552053,5
10,8,4,20.0,max,0.6496123295947052,0.015377280089137838,5,0.6630297130715846,0.03321662058308513,5,-0.013417383476879485,0.027013170131996986,0.012080656940582446,5
10,8,4,200.0,valid,147.4,14.570518178843194,5,155.2,3.3466401061363023,5,-7.8,17.137677789012137,7.664202502543887,5
10,8,4,200.0,novel,121.8,16.754103974847474,5,132.0,8.276472678623424,5,-10.2,23.46699810372004,10.494760597555334,5
10,8,4,200.0,hits@0.6,7.6,3.646916505762094,5,4.6,2.073644135332772,5,3.0,5.477225575051661,2.449489742783178,5
10,8,4,200.0,hits@0.65,0.6,0.5477225575051661,5,1.0,0.7071067811865476,5,-0.4,0.5477225575051661,0.24494897427831777,5
10,8,4,200.0,novel_qed_mean,0.4872648759246849,0.0058570185551763,5,0.4739946846962518,0.004858976563281793,5,0.013270191228433138,0.008230554605690795,0.003680815918169719,5
10,8,4,200.0,max,0.6516166949330227,0.027779402889217444,5,0.6700841060962851,0.023793941003494416,5,-0.01846741116326247,0.012698225260004494,0.0056788189749949975,5
10,8,4,1000.0,valid,147.2,14.237275020171522,5,155.0,3.3166247903554,5,-7.8,16.90266251216062,7.559100475585702,5
10,8,4,1000.0,novel,122.0,17.26267650163207,5,131.4,7.26636084983398,5,-9.4,23.723406163533937,10.609429767899874,5
10,8,4,1000.0,hits@0.6,7.6,3.646916505762094,5,4.8,1.9235384061671346,5,2.8,5.263078946776307,2.353720459187964,5
10,8,4,1000.0,hits@0.65,0.6,0.5477225575051661,5,0.8,0.8366600265340756,5,-0.2,0.8366600265340756,0.3741657386773941,5
